日期,SPY 超短,SPY 短线,SPY 中线,QQQ 超短,QQQ 短线,QQQ中线,SOXL 超短,SOXL 短线,SOXL中线,UVXY 超短,UVXY 短线,UVXY中线,SPY,QQQ,SOXL,UVXY
1/3/2025,38,27,69,37,21,71,48,37,22,,,,591.95,518.58,29.82,
1/6/2025,66,40,70,67,37,72,82,57,33,,,,595.36,524.54,32.49,
1/7/2025,52,46,64,53,43,68,73,71,30,,,,588.63,515.18,31.15,
1/8/2025,40,44,65,39,40,68,50,70,28,,,,589.49,515.27,30.18,
1/10/2025,23,27,59,24,25,63,55,52,24,,,,580.49,507.19,28.06,
1/13/2025,23,27,59,24,25,63,55,52,24,,,,581.39,505.56,27.85,
1/14/2025,24,18,47,17,15,51,23,28,20,,,,582.19,505.08,28.12,
1/15/2025,56,37,56,46,30,59,42,34,24,,,,592.78,516.7,29.94,
1/16/2025,74,50,55,58,38,56,56,41,24,,,,591.64,513.08,29.99,
1/17/2025,88,72,60,79,58,62,81,61,30,,,,597.58,521.74,32.49,
1/21/2025,98,84,68,96,70,64,95,74,42,,,,603.05,524.8,33.69,
1/22/2025,99,96,71,97,87,68,97,88,45,,,,606.44,531.51,35.15,
1/23/2025,98,99,72,92,93,69,84,89,45,,,,609.75,532.64,34.92,
1/24/2025,94,96,69,90,92,67,67,81,39,,,,607.97,529.63,32.65,
1/27/2025,54,86,82,36,75,70,20,54,36,,,,599.37,514.21,25.06,
1/28/2025,56,81,86,37,66,75,11,20,37,,,,604.52,521.81,25.37,
1/29/2025,52,75,84,46,57,74,15,13,38,,,,601.81,520.83,25.68,
1/30/2025,53,80,86,48,55,76,22,19,41,,,,605.04,523.05,27.15,
1/31/2025,66,77,84,64,65,74,33,23,41,,,,601.82,522.29,27.02,
2/3/2025,37,73,81,37,62,73,21,23,31,,,,597.77,518.11,25.61,
2/4/2025,49,65,85,54,60,77,28,21,33,,,,601.78,524.47,26.25,
2/5/2025,63,62,86,72,61,78,62,22,37,,,,604.22,526.85,27.7,
2/6/2025,76,68,88,83,71,80,66,28,37,,,,606.32,529.6,27.69,
2/7/2025,65,65,83,71,69,76,48,28,33,,,,600.77,522.92,26.33,
2/10/2025,66,66,80,77,72,75,55,27,24,,,,604.85,529.25,27.35,
2/11/2025,75,64,81,81,70,73,67,27,24,,,,605.31,527.99,27.4,
2/12/2025,67,69,79,74,78,74,70,32,33,,,,603.36,528.3,27.54,
2/13/2025,80,79,85,86,84,79,89,51,27,,,,609.73,535.9,28.47,
2/14/2025,91,85,85,95,91,81,90,69,27,,,,609.7,538.15,28.55,
2/18/2025,94,97,92,94,98,90,93,90,37,6,2,5,611.49,539.37,29.99,88.7
2/19/2025,97,97,91,95,97,90,95,92,40,7,2,5,612.93,539.52,31.47,87.3
2/20/2025,84,96,89,83,94,87,87,93,41,13,4,6,610.38,537.23,31.7,87.75
2/21/2025,45,76,80,51,78,79,61,79,33,51,17,11,599.94,526.08,28.81,97
2/24/2025,14,44,72,16,48,72,24,54,33,72,44,13,597.21,519.87,26.76,97.85
